Car Company,Model name,year,fuel,seats,x change
Fiat,Fiat Palio 1.2 ELX,2003,Petrol,,nan
Maruti,Maruti Omni 8 Seater BSIV,2012,Petrol,5.0,796
Hyundai,Hyundai i20 1.2 Asta Dual Tone,2018,Petrol,5.0,1197
Maruti,Maruti Vitara Brezza LDi,2017,Diesel,5.0,1248
Maruti,Maruti Alto 800 CNG LXI Optional,2019,CNG,4.0,796
Maruti,Maruti Alto K10 VXI Airbag,2019,Petrol,5.0,998
Hyundai,Hyundai Verna VTVT 1.6 SX Option,2019,Petrol,5.0,1591
Datsun,Datsun GO D,2016,Petrol,5.0,1198
Tata,Tata Safari DICOR 2.2 LX 4x2,2011,Diesel,7.0,2179
Maruti,Maruti 800 Std,2012,Petrol,4.0,796
Jeep,Jeep Compass 1.4 Limited Plus BSIV,2019,Petrol,5.0,1368
Honda,Honda City i VTEC VX,2018,Petrol,5.0,1497
Honda,Honda City V MT,2013,Petrol,5.0,1497
Maruti,Maruti Swift Dzire VXi AT,2018,Petrol,5.0,1197
Maruti,Maruti Vitara Brezza VDi,2018,Diesel,5.0,1248
Maruti,Maruti Alto K10 VXI,2018,Petrol,5.0,998
Toyota,Toyota Fortuner 4x4 MT,2014,Diesel,7.0,2982
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,Diesel,7.0,2494
Mercedes-Benz,Mercedes-Benz B Class B180,2014,Diesel,5.0,2143
Honda,Honda Amaze S Diesel,2015,Diesel,5.0,1498
Mitsubishi,Mitsubishi Pajero Sport 4X4,2013,Diesel,7.0,2477
Honda,Honda City i DTEC S,2015,Diesel,5.0,1498
Maruti,Maruti Ciaz Zeta,2018,Petrol,5.0,1462
Honda,Honda Jazz VX Diesel,2015,Diesel,5.0,1498
Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,Diesel,7.0,2755
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,Diesel,7.0,2494
Audi,Audi A6 2.0 TDI Technology,2013,Diesel,5.0,1968
Toyota,Toyota Corolla Altis 1.8 VL CVT,2018,Petrol,5.0,1798
Audi,Audi A6 2.0 TDI  Design Edition,2013,Diesel,5.0,1968
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,2013,Diesel,5.0,2143
Tata,Tata Manza ELAN Quadrajet BS IV,2011,Diesel,5.0,1248
Hyundai,Hyundai i10 Magna,2011,Petrol,5.0,1197
Hyundai,Hyundai i20 Asta 1.4 CRDi,2013,Diesel,5.0,1396
Maruti,Maruti Swift Dzire ZDI,2015,Diesel,5.0,1248
Ford,Ford Figo 1.2P Titanium MT,2017,Petrol,5.0,1196
Maruti,Maruti Baleno Delta 1.2,2019,Petrol,5.0,1197
Volkswagen,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,Diesel,5.0,1498
Honda,Honda City i DTEC VX,2015,Diesel,5.0,1498
Maruti,Maruti Wagon R AMT VXI,2018,Petrol,5.0,998
Volkswagen,Volkswagen Ameo 1.5 TDI Comfortline,2017,Diesel,5.0,1498
Maruti,Maruti Vitara Brezza VDi,2016,Diesel,5.0,1248
Maruti,Maruti Vitara Brezza ZDi Plus AMT,2019,Diesel,5.0,1248
Hyundai,Hyundai i10 Magna,2011,Petrol,5.0,1197
Maruti,Maruti Swift VDI Deca,2016,Diesel,5.0,1248
Toyota,Toyota Fortuner 4x4 MT,2015,Diesel,7.0,2982
Maruti,Maruti Swift Star VDI,2013,Diesel,5.0,1248
Maruti,Maruti Ertiga ZXI,2012,Petrol,7.0,1373
Tata,Tata Indica DLS,2003,Diesel,,nan
Volkswagen,Volkswagen Vento Diesel Highline,2013,Diesel,5.0,1598
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,Diesel,8.0,2494
Ford,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,Diesel,5.0,1498
BMW,BMW X1 sDrive20i xLine,2016,Petrol,5.0,1998
Maruti,Maruti Celerio ZXI MT BSIV,2017,Petrol,5.0,998
Datsun,Datsun GO A Petrol,2016,Petrol,5.0,1198
Maruti,Maruti Alto 800 VXI BSIV,2016,Petrol,5.0,796
Maruti,Maruti Alto 800 LXI BSIV,2016,Petrol,5.0,796
Maruti,Maruti Swift VDI BSIV W ABS,2015,Diesel,,nan
Hyundai,Hyundai i10 Era 1.1,2012,Petrol,5.0,1086
Maruti,Maruti Omni 8 Seater BSIV,2017,Petrol,5.0,796
Maruti,Maruti Wagon R LXI LPG BSIV,2010,LPG,5.0,998
Volkswagen,Volkswagen Polo 1.2 MPI Comfortline,2015,Petrol,5.0,1198
Hyundai,Hyundai i10 Magna 1.1L,2015,Petrol,5.0,1086
Volkswagen,Volkswagen Vento Petrol Highline,2012,Petrol,5.0,1598
Maruti,Maruti Zen Estilo LXI BSIII,2009,Petrol,5.0,998
Hyundai,Hyundai i20 Asta Optional with Sunroof 1.2,2013,Petrol,5.0,1197
Maruti,Maruti Swift Dzire LDI,2016,Diesel,5.0,1248
Hyundai,Hyundai Xcent 1.2 Kappa SX Option AT,2016,Petrol,5.0,1197
Maruti,Maruti Alto LX BSIII,2008,Petrol,5.0,796
Hyundai,Hyundai i20 1.4 Asta Option,2017,Diesel,5.0,1396
Maruti,Maruti Wagon R VXI,2009,Petrol,5.0,998
Tata,Tata Manza Aura (ABS) Quadrajet,2010,Diesel,5.0,1248
Maruti,Maruti Swift VXI,2019,Petrol,5.0,1197
Maruti,Maruti Eeco 7 Seater Standard BSIV,2016,Petrol,7.0,1196
Maruti,Maruti Baleno Zeta 1.2,2018,Petrol,5.0,1197
Mahindra,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,Diesel,8.0,2179
Ford,Ford Freestyle Titanium Petrol BSIV,2020,Petrol,5.0,1194
Hyundai,Hyundai Verna VTVT 1.6 SX,2017,Petrol,5.0,1591
Volkswagen,Volkswagen Passat 1.8 TSI MT,2010,Petrol,5.0,1798
Tata,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,Petrol,5.0,1172
Mahindra,Mahindra XUV500 W11 Option AWD,2019,Diesel,7.0,2179
Tata,Tata Indigo CS LS (TDI) BS-III,2016,Diesel,5.0,1405
Hyundai,Hyundai Verna 1.6 SX,2013,Diesel,5.0,1582
Hyundai,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,Diesel,5.0,1396
Toyota,Toyota Corolla Altis G,2009,Petrol,5.0,1798
Maruti,Maruti Celerio VXI,2020,Petrol,5.0,998
Maruti,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,Diesel,5.0,1248
Maruti,Maruti Swift Dzire VXI,2017,Petrol,5.0,1197
Maruti,Maruti Wagon R VXI BS IV,2017,Petrol,5.0,998
Maruti,Maruti Swift VDI BSIV,2010,Diesel,,nan
Nissan,Nissan Terrano XL 85 PS,2014,Diesel,5.0,1461
Hyundai,Hyundai Creta 1.6 CRDi SX,2016,Diesel,5.0,1582
Ford,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,Diesel,5.0,1498
Maruti,Maruti Swift Dzire VDi,2012,Diesel,5.0,1248
Renault,Renault KWID 1.0,2018,Petrol,5.0,999
Maruti,Maruti Celerio VXI,2015,Petrol,5.0,998
Maruti,Maruti Alto LXi,2008,Petrol,5.0,796
Maruti,Maruti Ertiga VDI,2013,Diesel,7.0,1248
Hyundai,Hyundai Santro Xing GLS,2009,Petrol,5.0,1086
Maruti,Maruti Ertiga VDI,2015,Diesel,7.0,1248
Honda,Honda Amaze S i-VTEC,2019,Petrol,5.0,1198
Audi,Audi Q5 35TDI Premium Plus,2018,Diesel,5.0,1968
Lexus,Lexus ES 300h,2019,Petrol,5.0,2487
Jaguar,Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,5.0,1999
Jeep,Jeep Wrangler 2016-2019 3.6 4X4,2017,Petrol,5.0,3604
Land,Land Rover Discovery Sport TD4 SE,2019,Diesel,7.0,1999
Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI,2017,Diesel,5.0,2987
BMW,BMW 5 Series 520d Sport Line,2018,Diesel,5.0,1995
BMW,BMW X1 sDrive 20D xLine,2017,Diesel,,nan
BMW,BMW X4 M Sport X xDrive20d,2019,Diesel,5.0,1995
Skoda,Skoda Superb LK 1.8 TSI AT,2018,Petrol,5.0,1798
Mercedes-Benz,Mercedes-Benz E-Class E250 Edition E,2016,Diesel,5.0,2143
MG,MG Hector Sharp AT BSIV,2019,Petrol,5.0,1451
Honda,Honda City i-VTEC CVT VX,2017,Petrol,5.0,1497
Toyota,Toyota Corolla Altis 1.8 G CVT,2013,Petrol,5.0,1798
Volvo,Volvo XC40 D4 R-Design,2018,Diesel,5.0,1969
Audi,Audi Q7 35 TDI Quattro Premium,2015,Diesel,7.0,2967
Maruti,Maruti Ciaz ZDi,2015,Diesel,5.0,1248
Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI,2017,Diesel,5.0,2987
BMW,BMW 5 Series 523i,2010,Petrol,5.0,2497
Hyundai,Hyundai Elantra S,2016,Petrol,5.0,1797
Jaguar,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,Diesel,5.0,1999
Tata,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,Petrol,5.0,1198
Volkswagen,Volkswagen Vento Petrol Highline,2011,Petrol,5.0,1598
Hyundai,Hyundai Elantra SX,2012,Petrol,5.0,1797
Skoda,Skoda Rapid 1.6 MPI AT Elegance,2016,Petrol,5.0,1598
Mercedes-Benz,Mercedes-Benz CLA 200 CGI Sport,2018,Petrol,5.0,1991
Maruti,Maruti Ertiga ZXI,2014,Petrol,7.0,1373
Mercedes-Benz,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,Petrol,5.0,1991
Honda,Honda City V AT,2017,Petrol,5.0,1497
Toyota,Toyota Glanza V CVT,2019,Petrol,5.0,1197
Maruti,Maruti Alto K10 VXI,2011,Petrol,5.0,998
Maruti,Maruti Swift VXI,2012,Petrol,5.0,1197
Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,Diesel,7.0,2755
Tata,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,Diesel,5.0,1497
BMW,BMW 3 Series 320d Luxury Line,2016,Diesel,5.0,1995
Toyota,Toyota Camry 2.5 Hybrid,2016,Petrol,5.0,2494
BMW,BMW 5 Series 520d Luxury Line,2016,Diesel,5.0,1995
Toyota,Toyota Camry W4 (AT),2009,Petrol,5.0,2362
Maruti,Maruti Ertiga BSIV ZXI Plus,2016,Petrol,7.0,1373
Volvo,Volvo XC90 T8 Excellence BSIV,2017,Petrol,4.0,1969
Volkswagen,Volkswagen Vento Diesel Highline,2011,Diesel,5.0,1598
Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,Petrol,5.0,1196
Ford,Ford Figo Diesel LXI,2011,Diesel,5.0,1399
Maruti,Maruti Swift VXI Optional,2015,Petrol,5.0,1197
Maruti,Maruti Wagon R AMT VXI,2015,Petrol,5.0,998
Hyundai,Hyundai i20 Magna 1.2,2016,Petrol,5.0,1197
Maruti,Maruti 800 Std,1999,Petrol,4.0,796
Maruti,Maruti Ritz VDi,2010,Diesel,5.0,1248
Hyundai,Hyundai Grand i10 Magna,2015,Petrol,5.0,1197
Volkswagen,Volkswagen Ameo 1.0 MPI Trendline,2019,Petrol,5.0,999
Hyundai,Hyundai Grand i10 Sportz,2014,Petrol,5.0,1197
Maruti,Maruti Swift Dzire VXI,2014,Petrol,5.0,1197
Hyundai,Hyundai Xcent 1.2 Kappa S,2016,Petrol,5.0,1197
Honda,Honda City 1.5 EXI,2005,Petrol,5.0,1493
Toyota,Toyota Corolla Altis Diesel D4DG,2010,Diesel,5.0,1364
Daewoo,Daewoo Matiz SD,2000,Petrol,5.0,796
Toyota,Toyota Fortuner 4x2 Manual,2014,Diesel,7.0,2982
Mahindra,Mahindra KUV 100 mFALCON G80 K8,2016,Petrol,6.0,1198
Tata,Tata Zest Quadrajet 1.3 75PS XM,2017,Diesel,5.0,1248
Honda,Honda City 1.5 S MT,2009,Petrol,5.0,1497
Maruti,Maruti Zen LXI,2005,Petrol,5.0,993
Maruti,Maruti Wagon R VXI BS IV with ABS,2010,Petrol,5.0,998
Hyundai,Hyundai Verna Transform SX VTVT,2010,Petrol,5.0,1599
Maruti,Maruti Swift Dzire VXI,2016,Petrol,5.0,1197
Hyundai,Hyundai Getz GLS,2005,Petrol,5.0,1341
Hyundai,Hyundai Elite i20 Sportz Plus BSIV,2020,Petrol,5.0,1197
Maruti,Maruti Ciaz 1.3 Alpha,2017,Diesel,5.0,1248
Tata,Tata Tigor 1.2 Revotron XZ,2019,Petrol,5.0,1199
Maruti,Maruti Ertiga VDI,2015,Diesel,7.0,1248
Toyota,Toyota Etios GD,2012,Diesel,,nan
Honda,Honda City i VTEC S,2015,Petrol,5.0,1497
Honda,Honda Brio S MT,2014,Petrol,5.0,1198
Maruti,Maruti Wagon R LXI CNG,2016,CNG,5.0,998
Maruti,Maruti Swift Dzire VXI,2017,Petrol,5.0,1197
Hyundai,Hyundai i20 Sportz 1.2,2013,Petrol,5.0,1197
Maruti,Maruti Omni E 8 Str STD,2003,Petrol,,nan
Maruti,Maruti Wagon R AMT VXI,2018,Petrol,5.0,998
Maruti,Maruti Swift Dzire VXI 1.2,2017,Petrol,5.0,1197
Maruti,Maruti Alto 800 LXI,2018,Petrol,5.0,796
Maruti,Maruti Swift Dzire AMT VXI BS IV,2018,Petrol,5.0,1197
Maruti,Maruti Swift VXI Optional,2017,Petrol,5.0,1197
Tata,Tata Hexa XE,2019,Diesel,7.0,2179
Hyundai,Hyundai i20 Magna,2013,Petrol,5.0,1197
Maruti,Maruti Swift Dzire VDI,2018,Diesel,5.0,1248
Maruti,Maruti Wagon R VXI BS IV,2015,Petrol,5.0,998
Toyota,Toyota Corolla Altis 1.8 VL AT,2012,Petrol,5.0,1794
Honda,Honda Brio S MT,2012,Petrol,5.0,1198
Maruti,Maruti Baleno Alpha Automatic,2018,Petrol,5.0,1197
Tata,Tata Safari Storme EX,2017,Diesel,7.0,2179
Maruti,Maruti Alto LXi,2011,Petrol,5.0,796
Renault,Renault KWID RXT,2018,Petrol,5.0,799
Datsun,Datsun GO T BSIV,2017,Petrol,5.0,1198
Maruti,Maruti Vitara Brezza VDi Option,2017,Diesel,5.0,1248
Hyundai,Hyundai Xcent 1.2 VTVT SX,2020,Petrol,5.0,1197
Maruti,Maruti Alto 800 LXI,2015,Petrol,5.0,796
Hyundai,Hyundai i20 1.2 Sportz,2012,Petrol,5.0,1197
Tata,Tata Zest Revotron 1.2 XT,2018,Petrol,5.0,1193
Maruti,Maruti Swift 1.3 VXi,2008,Petrol,,nan
Nissan,Nissan Sunny XL,2014,Petrol,5.0,1498
Ford,Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,Petrol,5.0,1497
Nissan,Nissan Micra Active XV S,2015,Petrol,5.0,1198
Maruti,Maruti Wagon R LXI Optional,2016,Petrol,5.0,998
Mahindra,Mahindra Ssangyong Rexton RX5,2013,Diesel,7.0,2696
Mahindra,Mahindra Quanto C8,2013,Diesel,7.0,1493
Maruti,Maruti Ritz LDi,2010,Diesel,5.0,1248
Hyundai,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,Diesel,5.0,1582
Renault,Renault KWID RXT,2016,Petrol,5.0,799
Maruti,Maruti Ertiga VDI,2015,Diesel,7.0,1248
Mahindra,Mahindra XUV500 W4,2015,Diesel,7.0,2179
Maruti,Maruti Eeco 5 Seater AC BSIV,2017,Petrol,5.0,1196
Hyundai,Hyundai Santro Xing GLS,2011,Petrol,5.0,1086
Hyundai,Hyundai Accent GLE,2007,Petrol,5.0,1495
Mahindra,Mahindra XUV500 W8 2WD,2012,Diesel,7.0,2179
Toyota,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,Diesel,7.0,2494
Maruti,Maruti Swift Dzire VDI,2013,Diesel,5.0,1248
Honda,Honda Amaze S CVT Petrol BSIV,2019,Petrol,5.0,1199
Hyundai,Hyundai i10 Sportz 1.2,2009,Petrol,5.0,1197
Maruti,Maruti Swift Dzire VDI,2014,Diesel,5.0,1248
Maruti,Maruti Ertiga SHVS ZDI Plus,2016,Diesel,7.0,1248
Hyundai,Hyundai Getz 1.3 GVS,2008,Petrol,5.0,1341
Hyundai,Hyundai i20 1.2 Magna,2012,Petrol,5.0,1197
Tata,Tata Indica DLS,2005,Diesel,,nan
Maruti,Maruti Swift LXI Optional-O,2015,Petrol,5.0,1197
Tata,Tata Indica Vista TDI LS,2013,Diesel,5.0,1405
Hyundai,Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,Diesel,5.0,1396
Maruti,Maruti Ignis 1.3 Alpha,2017,Diesel,5.0,1248
Tata,Tata Hexa XTA,2017,Diesel,7.0,2179
Mahindra,Mahindra Marazzo M6 8Str,2019,Diesel,8.0,1497
Hyundai,Hyundai Verna 1.6 CRDI,2013,Diesel,5.0,1582
Maruti,Maruti Swift Dzire VDI,2012,Diesel,5.0,1248
Maruti,Maruti Swift Dzire LDi,2012,Diesel,5.0,1248
Honda,Honda City i DTEC V,2015,Diesel,5.0,1498
Maruti,Maruti Swift Dzire ZDi,2012,Diesel,5.0,1248
Hyundai,Hyundai Xcent 1.2 CRDi E,2017,Diesel,5.0,1186
Toyota,Toyota Fortuner 3.0 Diesel,2011,Diesel,7.0,2982
Tata,Tata Tiago 1.05 Revotorq XZ,2016,Diesel,5.0,1047
Nissan,Nissan Sunny XL AT Special Edition,2013,Petrol,5.0,1498
Hyundai,Hyundai Elite i20 Magna Plus BSIV,2019,Petrol,5.0,1197
Maruti,Maruti Swift Dzire VXI,2015,Petrol,5.0,1197
Toyota,Toyota Innova 2.5 GX 7 STR,2011,Diesel,7.0,2494
Mahindra,Mahindra Thar CRDe,2017,Diesel,6.0,2498
Maruti,Maruti Swift Dzire ZDi,2012,Diesel,5.0,1248
Maruti,Maruti Swift 1.2 DLX (Only Delhi),2014,Petrol,5.0,1197
Datsun,Datsun GO D Petrol,2019,Petrol,5.0,1198
Hyundai,Hyundai i20 Asta 1.4 CRDi,2015,Diesel,5.0,1396
Mahindra,Mahindra Scorpio LX,2011,Diesel,9.0,2179
Tata,Tata Sumo Gold EX BSIII,2015,Diesel,7.0,2956
Tata,Tata Tiago Wizz 1.05 Revotorq,2017,Diesel,5.0,1047
Tata,Tata Zest Revotron 1.2 XT,2015,Petrol,5.0,1193
Hyundai,Hyundai Accent GLE,2008,Petrol,5.0,1495
Honda,Honda Brio Exclusive Edition,2014,Petrol,5.0,1198
Hyundai,Hyundai Grand i10 AT Asta,2015,Petrol,5.0,1197
Tata,Tata Manza Club Class Quadrajet90 LX,2012,Diesel,5.0,1248
Maruti,Maruti Alto LX,2005,Petrol,5.0,796
Tata,Tata New Safari DICOR 2.2 EX 4x2,2011,Diesel,7.0,2179
Mahindra,Mahindra Bolero SLE,2009,Diesel,7.0,2523
Mahindra,Mahindra Bolero DI DX 7 Seater,2007,Diesel,7.0,2523
Mercedes-Benz,Mercedes-Benz GL-Class 220d 4MATIC Sport,2018,Diesel,5.0,2143
Maruti,Maruti Omni E MPI STD BS IV,2016,Petrol,8.0,796
Hyundai,Hyundai Grand i10 Sportz,2017,Petrol,5.0,1197
Hyundai,Hyundai Grand i10 Sportz,2017,Petrol,5.0,1197
Hyundai,Hyundai i10 Sportz AT,2013,Petrol,5.0,1197
Maruti,Maruti Swift VXI Deca,2016,Petrol,5.0,1197
Hyundai,Hyundai i10 Sportz AT,2011,Petrol,5.0,1197
Maruti,Maruti Swift VXI,2012,Petrol,5.0,1197
Maruti,Maruti Swift VXI,2012,Petrol,5.0,1197
Mahindra,Mahindra Bolero 2011-2019 ZLX,2014,Diesel,7.0,2523
Hyundai,Hyundai Verna 1.6 SX VTVT (O),2014,Petrol,5.0,1591
Hyundai,Hyundai i20 Active 1.2,2015,Petrol,5.0,1197
Maruti,Maruti Baleno Zeta,2019,Petrol,5.0,1197
Hyundai,Hyundai i20 1.2 Asta,2010,Petrol,5.0,1197
Maruti,Maruti Alto LXI,2005,Petrol,5.0,796
Maruti,Maruti Swift Dzire VDI,2017,Diesel,5.0,1248
Maruti,Maruti Swift Dzire VXI,2014,Petrol,5.0,1197
Hyundai,Hyundai Grand i10 CRDi Sportz,2015,Diesel,5.0,1120
Maruti,Maruti Swift 1.3 VXi,2010,Petrol,,nan
Maruti,Maruti Swift Dzire VXI,2014,Petrol,5.0,1197
Chevrolet,Chevrolet Beat LS,2012,Petrol,5.0,1199
Tata,Tata Tigor 1.2 Revotron XZA,2018,Petrol,5.0,1199
Maruti,Maruti 800 Std,2006,Petrol,4.0,796
Honda,Honda City i-DTEC VX,2017,Diesel,5.0,1498
Honda,Honda City i-DTEC VX,2017,Diesel,5.0,1498
Maruti,Maruti Ertiga VXI,2013,Petrol,7.0,1373
Nissan,Nissan Terrano XV Premium 110 PS,2014,Diesel,5.0,1461
Honda,Honda City i VTEC VX,2014,Petrol,5.0,1497
Mahindra,Mahindra Willys CJ 3B 4X4,1983,Diesel,,nan
Renault,Renault KWID RXL,2016,Petrol,5.0,799
Toyota,Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,Diesel,8.0,2494
Maruti,Maruti Wagon R VXI BS IV,2017,Petrol,5.0,998
Hyundai,Hyundai Creta 1.4 CRDi S Plus,2018,Diesel,5.0,1396
Tata,Tata Tiago 1.2 Revotron XZ,2017,Petrol,5.0,1199
Hyundai,Hyundai Grand i10 1.2 CRDi Sportz,2018,Diesel,5.0,1186
Maruti,Maruti Baleno Zeta Automatic,2016,Petrol,5.0,1197
Maruti,Maruti Swift ZXI ABS,2011,Petrol,5.0,1298
Maruti,Maruti Swift Dzire VXi AT,2012,Petrol,5.0,1197
Maruti,Maruti Swift LXI Option,2014,Petrol,5.0,1197
Hyundai,Hyundai i20 1.2 Asta,2010,Petrol,5.0,1197
Maruti,Maruti Zen LXI,2003,Petrol,5.0,993
Maruti,Maruti Celerio LXI,2017,Petrol,5.0,998
Toyota,Toyota Innova 2.5 V Diesel 8-seater,2007,Diesel,8.0,2494
Maruti,Maruti Ritz LDi,2011,Diesel,5.0,1248
Nissan,Nissan Micra Diesel XV,2011,Diesel,5.0,1461
Maruti,Maruti Zen LXI,2002,Petrol,5.0,993
Hyundai,Hyundai Verna 1.6 SX VTVT (O),2013,Petrol,5.0,1591
Maruti,Maruti Zen Estilo LXI BSIII,2007,Petrol,5.0,998
Hyundai,Hyundai Santro Xing XL,2005,Petrol,,nan
Maruti,Maruti Alto LX,2005,Petrol,5.0,796
Maruti,Maruti Swift Dzire ZDi,2011,Diesel,5.0,1248
Maruti,Maruti A-Star Vxi,2010,Petrol,5.0,998
Maruti,Maruti Ertiga VDI,2013,Diesel,7.0,1248
Maruti,Maruti Swift Ldi BSIII,2008,Diesel,5.0,1248
Nissan,Nissan Micra Diesel XV,2011,Diesel,5.0,1461
Maruti,Maruti Wagon R LXI,2005,Petrol,5.0,998
Ford,Ford Figo Diesel Titanium,2010,Diesel,5.0,1399
Mahindra,Mahindra XUV300 W8 Option BSIV,2019,Petrol,5.0,1197
Hyundai,Hyundai Creta 1.6 CRDi AT SX Plus,2017,Diesel,5.0,1582
Maruti,Maruti Swift VXI BSIV,2018,Petrol,5.0,1197
Datsun,Datsun GO T Option BSIV,2016,Petrol,5.0,1198
Hyundai,Hyundai Grand i10 Asta,2015,Petrol,5.0,1197
Toyota,Toyota Fortuner 2.8 2WD MT BSIV,2018,Diesel,7.0,2755
Renault,Renault KWID RXL,2018,Petrol,5.0,799
Honda,Honda Brio 1.2 VX MT,2012,Petrol,5.0,1198
Volkswagen,Volkswagen Ameo 1.2 MPI Comfortline Plus,2019,Petrol,5.0,1198
Nissan,Nissan Sunny XV Special Edition,2012,Petrol,5.0,1498
Toyota,Toyota Etios Liva GD SP,2013,Diesel,5.0,1364
Hyundai,Hyundai i10 Sportz,2009,Petrol,5.0,1197
Renault,Renault Duster 85PS Diesel RxL,2014,Diesel,5.0,1461
Mahindra,Mahindra XUV500 W8 2WD,2012,Diesel,7.0,2179
Toyota,Toyota Innova 2.5 V Diesel 7-seater,2008,Diesel,7.0,2494
Tata,Tata Indigo CS eGLX BS IV,2011,Petrol,5.0,1193
Hyundai,Hyundai Elantra SX AT,2013,Petrol,5.0,1797
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,2013,Diesel,5.0,2143
Tata,Tata Nano STD,2012,Petrol,4.0,624
Nissan,Nissan Micra Diesel XL,2013,Diesel,5.0,1461
Maruti,Maruti Wagon R LXI,2005,Petrol,5.0,998
Maruti,Maruti Swift Dzire VDI,2016,Diesel,5.0,1248
Hyundai,Hyundai i10 Magna,2010,Petrol,5.0,1197
Renault,Renault KWID RXT,2016,Petrol,5.0,799
Volkswagen,Volkswagen GTI 1.8 TSI,2016,Petrol,5.0,1798
Jaguar,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,Diesel,5.0,1999
Lexus,Lexus ES 300h,2019,Petrol,5.0,2487
Jaguar,Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,5.0,1999
Tata,Tata Safari Storme EX,2015,Diesel,7.0,2179
Volvo,Volvo XC40 D4 Inscription BSIV,2019,Diesel,5.0,1969
Toyota,Toyota Camry 2.5 Hybrid,2016,Petrol,5.0,2494
Maruti,Maruti Wagon R LXI,2013,Petrol,5.0,998
