company,Model name,year,fuel,seats,engine,km_driven,mileage,max_power,torque,Insurance 
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,Diesel,7,1498 CC,49800,12.55 kmpl,98.63 bhp,200Nm@ 1750rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Audi,Audi A6 2.0 TDI Technology,2013,Diesel,5,2477 CC,151000,26.59 kmpl,175.56 bhp,400Nm@ 2000-2500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Toyota,Toyota Corolla Altis 1.8 VL CVT,2018,Petrol,5,1498 CC,54700,12.55 kmpl,98.6 bhp,200Nm@ 1750rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Audi,Audi A6 2.0 TDI  Design Edition,2013,Diesel,5,1462 CC,64000,11.5 kmpl,103.25 bhp,138Nm@ 4400rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,2013,Diesel,5,1498 CC,63000,17.0 kmpl,98.6 bhp,200Nm@ 1750rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Tata,Tata Manza ELAN Quadrajet BS IV,2011,Diesel,5,2755 CC,127700,19.49 kmpl,171.5 bhp,360Nm@ 1200-3400rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i10 Magna,2011,Petrol,5,2494 CC,99000,16.2 kmpl,100.6 bhp,200Nm@ 1200-3600rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i20 Asta 1.4 CRDi,2013,Diesel,5,1968 CC,33900,25.32 kmpl,174.33 bhp,380Nm@ 1750-2500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift Dzire ZDI,2015,Diesel,5,1798 CC,25000,16.02 kmpl,138.03 bhp,173Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Ford,Ford Figo 1.2P Titanium MT,2017,Petrol,5,1968 CC,50000,23.5 kmpl,187.74 bhp,400Nm@ 1750-3000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Baleno Delta 1.2,2019,Petrol,5,2143 CC,59000,16.6 kmpl,170 bhp,400Nm@ 1400-2800rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,Diesel,5,1248 CC,120000,19.81 kmpl,88.8 bhp,200Nm@ 1750-3000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Honda,Honda City i DTEC VX,2015,Diesel,5,1197 CC,110000,19.0 kmpl,78.9 bhp,111.7Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Wagon R AMT VXI,2018,Petrol,5,1396 CC,60000,18.9 kmpl,88.76 bhp,219.6Nm@ 1500-2750rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Ameo 1.5 TDI Comfortline,2017,Diesel,5,1248 CC,147000,23.9 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Vitara Brezza VDi,2016,Diesel,5,1196 CC,25000,24.52 kmpl,86.8 bhp,112Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Vitara Brezza ZDi Plus AMT,2019,Diesel,5,1197 CC,30000,25.2 kmpl,83.1 bhp,115Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i10 Magna,2011,Petrol,5,1498 CC,40000,17.01 kmpl,108.495 bhp,250Nm@ 1500-3000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift VDI Deca,2016,Diesel,5,1498 CC,135000,25.2 kmpl,98.6 bhp,200Nm@ 1750rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Toyota,Toyota Fortuner 4x4 MT,2015,Diesel,7,998 CC,30000,25.32 kmpl,67 bhp,90Nm@ 3500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift Star VDI,2013,Diesel,5,1498 CC,80000,20.8 kmpl,108.62 bhp,250Nm@ 1500-3000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Ertiga ZXI,2012,Petrol,7,1248 CC,70000,20.14 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Tata,Tata Indica DLS,2003,Diesel,,1248 CC,9850,18.5 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Vento Diesel Highline,2013,Diesel,5,1197 CC,60000,22.74 kmpl,78.9 bhp,111.7Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,Diesel,8,1248 CC,70000,27.62 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Ford,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,Diesel,5,2982 CC,78000,17.5 kmpl,168.5 bhp,343Nm@ 1400-3400rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
BMW,BMW X1 sDrive20i xLine,2016,Petrol,5,1248 CC,120000,20.54 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Celerio ZXI MT BSIV,2017,Petrol,5,1373 CC,120000,18.6 kmpl,93.7 bhp,130Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Alto 800 VXI BSIV,2016,Petrol,5,,70000,23.59 kmpl,,,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Alto 800 LXI BSIV,2016,Petrol,5,1598 CC,170000,18.9 kmpl,103.6 bhp,250Nm@ 1500-2500rpm,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Maruti,Maruti Swift VDI BSIV W ABS,2015,Diesel,,2494 CC,140000,28.4 kmpl,100.6 bhp,200Nm@ 1200-3600rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i10 Era 1.1,2012,Petrol,5,1498 CC,90000,12.9 kmpl,98.59 bhp,205Nm@ 1750-3250rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Omni 8 Seater BSIV,2017,Petrol,5,1998 CC,30000,17.5 kmpl,189 bhp,280Nm@ 1350-4600rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Wagon R LXI LPG BSIV,2010,LPG,5,998 CC,10000,24.7 kmpl,67.04 bhp,90Nm@ 3500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Polo 1.2 MPI Comfortline,2015,Petrol,5,1198 CC,49000,22.74 kmpl,67.05 bhp,104Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i10 Magna 1.1L,2015,Petrol,5,796 CC,32000,25.44 kmpl,47.3 bhp,69Nm@ 3500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Vento Petrol Highline,2012,Petrol,5,796 CC,38000,23.84 kmpl,47.3 bhp,69Nm@ 3500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Zen Estilo LXI BSIII,2009,Petrol,5,,78000,25.44 kmpl,,,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i20 Asta Optional with Sunroof 1.2,2013,Petrol,5,1086 CC,28000,13.93 kmpl,68.05 bhp,99.04Nm@ 4500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift Dzire LDI,2016,Diesel,5,796 CC,32000,15.6 kmpl,35 bhp,6.1kgm@ 3000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai Xcent 1.2 Kappa SX Option AT,2016,Petrol,5,998 CC,44000,17.88 kmpl,58.2 bhp,77Nm@ 3500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Alto LX BSIII,2008,Petrol,5,1198 CC,42000,26.59 kmpl,74 bhp,110Nm@ 3750rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i20 1.4 Asta Option,2017,Diesel,5,1086 CC,45000,28.4 kmpl,68.05 bhp,99.04Nm@ 4500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Wagon R VXI,2009,Petrol,5,1598 CC,12000,22.7 kmpl,103.6 bhp,153Nm@ 3800rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Tata,Tata Manza Aura (ABS) Quadrajet,2010,Diesel,5,998 CC,55500,20.92 kmpl,67.1 bhp,90Nm@ 3500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift VXI,2019,Petrol,5,1197 CC,61500,19.3 kmpl,82.85 bhp,113.7Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Eeco 7 Seater Standard BSIV,2016,Petrol,7,1248 CC,150000,17.2 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Baleno Zeta 1.2,2018,Petrol,5,1197 CC,72000,13.6 kmpl,82 bhp,114Nm@ 4000rpm,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Mahindra,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,Diesel,8,796 CC,68000,,46.3 bhp,62Nm@ 3000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Ford,Ford Freestyle Titanium Petrol BSIV,2020,Petrol,5,1396 CC,110000,18.6 kmpl,88.73 bhp,219.7Nm@ 1500-2750rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai Verna VTVT 1.6 SX,2017,Petrol,5,998 CC,77000,21.1 kmpl,67.05 bhp,90Nm@ 3500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Passat 1.8 TSI MT,2010,Petrol,5,1248 CC,100000,15.37 kmpl,90 bhp,200Nm@ 1750-3000rpm,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Tata,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,Petrol,5,1197 CC,10000,17.5 kmpl,81.80 bhp,113Nm@ 4200rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Mahindra,Mahindra XUV500 W11 Option AWD,2019,Diesel,7,1196 CC,100000,19.1 kmpl,73 bhp,101Nm@ 3000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Tata,Tata Indigo CS LS (TDI) BS-III,2016,Diesel,5,1197 CC,35000,18.6 kmpl,83.1 bhp,115Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai Verna 1.6 SX,2013,Diesel,5,2179 CC,70000,23.84 kmpl,120 bhp,290Nm@ 1800-2800rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,Diesel,5,1194 CC,5000,18.2 kmpl,94.68 bhp,120Nm@ 4250rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Toyota,Toyota Corolla Altis G,2009,Petrol,5,1591 CC,37800,19.7 kmpl,121.3 bhp,151Nm@ 4850rpm,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Maruti,Maruti Celerio VXI,2020,Petrol,5,1798 CC,114000,17.1 kmpl,160 bhp,250Nm@ 1500~4500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,Diesel,5,1172 CC,48000,17.4 kmpl,65 bhp,96 Nm at 3000 rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift Dzire VXI,2017,Petrol,5,2179 CC,32000,20.54 kmpl,155 bhp,360Nm@ 1750-2800rpm,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Maruti,Maruti Wagon R VXI BS IV,2017,Petrol,5,1405 CC,100000,20.92 kmpl,69.01 bhp,135Nm@ 2500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift VDI BSIV,2010,Diesel,,1582 CC,150000,18.6 kmpl,126.32 bhp,259.8Nm@ 1900-2750rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai Creta 1.6 CRDi SX,2016,Diesel,5,1396 CC,69000,15.42 kmpl,88.76 bhp,219.6Nm@ 1500-2750rpm,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Ford,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,Diesel,5,1798 CC,100000,16.02 kmpl,138.1 bhp,173Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift Dzire VDi,2012,Diesel,5,998 CC,13000,18.5 kmpl,67.04 bhp,90Nm@ 3500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Renault,Renault KWID 1.0,2018,Petrol,5,1248 CC,60000,21.1 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Celerio VXI,2015,Petrol,5,1197 CC,40000,,83.14 bhp,115Nm@ 4000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Alto LXi,2008,Petrol,5,998 CC,35000,15.3 kmpl,67.04 bhp,90Nm@ 3500rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Ertiga VDI,2013,Diesel,7,,120000,19.7 kmpl,,,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai Santro Xing GLS,2009,Petrol,5,1461 CC,70000,18.2 kmpl,83.8 bhp,200Nm@ 1900rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Ertiga VDI,2015,Diesel,7,1582 CC,50000,,126.2 bhp,259.9Nm@ 1900-2750rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Honda,Honda Amaze S i-VTEC,2019,Petrol,5,1498 CC,76139,17.57 kmpl,98.96 bhp,205Nm@ 1750-3250rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Audi,Audi Q5 35TDI Premium Plus,2018,Diesel,5,1248 CC,175000,19.68 kmpl,73.9 bhp,190Nm@ 2000rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Jaguar,Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,5,999 CC,25000,19.7 kmpl,67 bhp,91Nm@ 4250rpm,"Comapany Name:Reliance General,Policy Plan:1400000"
Land,Land Rover Discovery Sport TD4 SE,2019,Diesel,7,998 CC,40000,12.99 kmpl,67.04 bhp,90Nm@ 3500rpm,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI,2017,Diesel,5,796 CC,65000,13.6 kmpl,46.3 bhp,62Nm@ 3000rpm,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
BMW,BMW 5 Series 520d Sport Line,2018,Diesel,5,1248 CC,90000,22.74 kmpl,88.76 bhp,200Nm@ 1750rpm,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
BMW,BMW X1 sDrive 20D xLine,2017,Diesel,,1086 CC,80000,20.51 kmpl,62.1 bhp,96.1Nm@ 3000rpm,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
BMW,BMW X4 M Sport X xDrive20d,2019,Diesel,5,1248 CC,110000,19.3 kmpl,88.76 bhp,200Nm@ 1750rpm,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
Mercedes-Benz,Mercedes-Benz E-Class E250 Edition E,2016,Diesel,5,1198 CC,1303,14.1 kmpl,86.7 bhp,109Nm@ 4500rpm,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
Honda,Honda City i-VTEC CVT VX,2017,Petrol,5,1968 CC,31800,24.3 kmpl,188 bhp,400nm@ 1750-3000rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Toyota,Toyota Corolla Altis 1.8 G CVT,2013,Petrol,5,2487 CC,20000,11.36 kmpl,214.56 bhp,202Nm@ 3600-5200rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Volvo,Volvo XC40 D4 R-Design,2018,Diesel,5,1999 CC,45000,19.67 kmpl,177 bhp,430Nm@ 1750-2500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
Audi,Audi Q7 35 TDI Quattro Premium,2015,Diesel,7,3604 CC,17000,24.3 kmpl,280 bhp,347Nm@ 4300rpm,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Ciaz ZDi,2015,Diesel,5,1999 CC,21000,18.6 kmpl,148.31 bhp,382nm@ 1750-2250rpm,"Comapany Name:Magma HDI,Policy Plan:3600"
Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI,2017,Diesel,5,2987 CC,37000,18.9 kmpl,254.79 bhp,620Nm@ 1600-2400rpm,"Comapany Name:Go Digit,Policy Plan:4000"
BMW,BMW 5 Series 523i,2010,Petrol,5,1995 CC,29500,18.7 kmpl,187.74 bhp,400Nm@ 1750-2500rpm,"Comapany Name:Universal Sompo,Policy Plan:5670"
Hyundai,Hyundai Elantra S,2016,Petrol,5,,27000,15.4 kmpl,,,"Comapany Name:Go Digit,Policy Plan:4000"
Jaguar,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,Diesel,5,1995 CC,7500,17.7 kmpl,190 bhp,400Nm@ 1750-2500rpm,"Comapany Name:Go Digit,Policy Plan:4000"
