Insurance_id,Insurance
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
14,"Comapany Name:Reliance General,Policy Plan:1400000"
15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
13,"Comapany Name:Magma HDI,Policy Plan:3600"
12,"Comapany Name:Magma HDI,Policy Plan:3259"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
3,"Comapany Name:Go Digit,Policy Plan:4000"
3,"Comapany Name:Go Digit,Policy Plan:4000"
17,"Comapany Name:Universal Sompo,Policy Plan:5670"
